"fk_meter_dbid","is_backfill","circuit_tag","total_kwhrs","reading_dts_utc"
1001,true,"1R1.06",29886.79,2022-12-31 23:59:52.000
1002,false,"1R2.06",0.34,2023-01-01 00:29:04.000
1003,false,"1R3.03",3440.55,2022-12-31 23:40:55.000
1004,false,"1R3.10",2.85,2023-01-01 00:21:08.000
1006,false,"1R3.02",3878.00,2022-12-31 23:57:22.000
1007,false,"1R3.04",874.56,2022-12-31 23:57:32.000
1008,false,"1R3.01",23550.46,2023-01-01 00:13:12.000
1009,false,"1R2.03",26647.17,2023-01-01 00:18:49.000
1010,false,"1R2.06",201.79,2022-12-31 23:58:18.000
1012,false,"1R1.08",5329.47,2022-12-31 23:37:44.000
1013,false,"1R3.05",47618.13,2023-01-01 00:13:05.000
1014,false,"1R3.08",4397.49,2023-01-01 00:08:37.000
1015,false,"1R2.02",1.34,2022-12-31 23:48:00.000
1017,false,"1R1.07",0.24,2023-01-01 00:18:58.000
1018,false,"1R2.08",609.18,2023-01-01 00:29:32.000
1019,false,"1R1.05",18743.02,2023-01-01 00:19:06.000
1020,false,"1R1.04",1.23,2023-01-01 00:19:11.000
1021,false,"1R1.03",56097.14,2023-01-01 00:08:48.000
1023,false,"1R1.01",15.50,2023-01-01 00:19:21.000
1024,false,IRF,14.04,2022-12-31 23:48:25.000
1025,false,"1R2.07",0.18,2023-01-01 00:21:30.000
1026,false,"1R3.06",16861.00,2022-12-31 23:48:31.000
1027,false,"1R3.11",24830.02,2023-01-01 00:19:38.000
1028,false,"1R2.09",2305.78,2022-12-31 23:38:33.000
1029,false,"1R3.09",3035.00,2023-01-01 00:29:37.000
1030,false,"1R3.07",1.73,2022-12-31 23:48:28.000
1032,false,"1R6.03",4546.80,2022-12-31 23:45:11.000
1033,false,"1R6.01",3409.30,2022-12-31 23:38:52.000
1034,false,"1R6.04",4558.30,2023-01-01 00:18:53.000
1035,false,"1R6.11",27.40,2022-12-31 23:52:13.000
1036,false,"1R5.03",17319.42,2022-12-31 23:45:34.000
1037,false,"1R5.04",93.15,2023-01-01 00:05:44.000
1038,false,"1R5.05",21242.64,2023-01-01 00:05:47.000
1039,false,"1R5.12",0.03,2023-01-01 00:05:50.000
1040,false,"1R5.07",452.30,2022-12-31 23:39:21.000
1041,false,"1R5.06",9037.67,2022-12-31 23:59:21.000
1042,false,"1R4.03",10918.08,2022-12-31 23:39:28.000
1043,false,"1R4.02",10951.03,2022-12-31 23:45:59.000
1044,false,"1R4.01",3847.55,2022-12-31 23:52:45.000
1045,false,"1R4.04",5161.50,2022-12-31 23:46:04.000
1046,false,"1R4.05",9169.80,2022-12-31 23:52:52.000
1047,false,"1R4.12",918.63,2022-12-31 23:39:45.000
1048,false,"1R4.06",935.46,2022-12-31 23:39:47.000
1049,false,"1R4.09",4856.30,2022-12-31 23:46:16.000
1050,false,"1R5.02",2503.55,2023-01-01 00:05:41.000
1052,false,"1R7.01",879.34,2023-01-01 00:05:46.000
1053,false,"1R7.02",8709.97,2022-12-31 23:47:52.000
1054,false,"1R7.03",5250.15,2022-12-31 23:41:54.000
1055,false,"1R7.04",8475.20,2023-01-01 00:05:56.000
1056,false,"1R7.06",646.36,2023-01-01 00:06:01.000
1057,false,"1R6.02",9034.50,2023-01-01 00:18:43.000
1066,false,B.00,1890.31,2023-01-01 00:21:35.000
1068,true,"1R7.05",227.03,2023-01-01 00:01:01.000
1073,true,"1R7.20",3626.45,2022-12-31 23:59:52.000
1076,true,"1R7.22",5747.08,2023-01-01 00:01:01.000
1077,true,"1R7.23",4190.54,2022-12-31 23:59:52.000
1078,false,"1R8.10",473.94,2023-01-01 00:07:12.000
